#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163546.288;20180524-163547.000;45.06847;7.67637;3.0;284.7;213.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163546.770;20180524-163548.000;45.06906;7.6768;3.0;288.7;257.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163547.285;20180524-163548.000;45.06952;7.67713;3.0;288.7;246.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163547.772;20180524-163549.000;45.06973;7.67728;3.0;289.9;46.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163548.270;20180524-163549.000;45.06979;7.67735;3.0;289.9;244.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163548.772;20180524-163550.000;45.06984;7.67742;3.0;291.1;30.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163549.276;20180524-163550.000;45.0699;7.67752;3.0;291.1;315.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163549.776;20180524-163551.000;45.06997;7.67762;3.0;291.0;343.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163550.278;20180524-163551.000;45.07006;7.67771;3.0;291.0;299.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163550.781;20180524-163552.000;45.07018;7.6778;3.0;287.0;334.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163551.296;20180524-163552.000;45.07021;7.67781;3.0;287.0;286.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163551.799;20180524-163553.000;45.07022;7.67771;3.0;285.1;345.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163552.281;20180524-163553.000;45.07025;7.67759;3.0;285.1;262.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163552.783;20180524-163554.000;45.07047;7.67695;3.0;283.1;135.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163553.298;20180524-163554.000;45.07083;7.67598;3.0;283.1;52.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163553.798;20180524-163555.000;45.0712;7.67497;3.0;285.8;268.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163554.301;20180524-163555.000;45.07132;7.67462;3.0;285.8;242.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163554.800;20180524-163556.000;45.07137;7.67447;3.0;289.4;261.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163555.298;20180524-163556.000;45.07158;7.6739;3.0;289.4;248.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163555.801;20180524-163557.000;45.07181;7.67325;3.0;289.4;274.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163556.304;20180524-163557.000;45.07184;7.67319;3.0;289.4;330.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163556.806;20180524-163558.000;45.0719;7.67303;3.0;291.7;205.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163557.305;20180524-163558.000;45.07219;7.67219;3.0;291.7;350.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163557.807;20180524-163559.000;45.07242;7.67156;3.0;295.1;233.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163558.310;20180524-163559.000;45.07248;7.67141;3.0;295.1;60.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163558.807;20180524-163600.000;45.07257;7.67116;3.0;294.2;265.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163559.310;20180524-163600.000;45.07282;7.67048;3.0;294.2;114.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163559.809;20180524-163601.000;45.0729;7.67054;3.0;292.3;129.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163600.308;20180524-163601.000;45.073;7.6706;3.0;292.3;132.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163600.809;20180524-163602.000;45.07363;7.67101;3.0;290.8;123.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163601.313;20180524-163602.000;45.07425;7.67143;3.0;290.8;325.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
